GPU: NVIDIA H200 (SM 90, 132 SMs, 139.8 GB, 1740 MHz)

dtype               M        N        K    time_ms     TFLOPS
──────────── ──────── ──────── ──────── ────────── ──────────
fp16             4096     4096     4096      0.179      768.2
fp16             4096     4096     8192      0.431      638.5
fp16             4096     4096    16384      0.683      805.1
fp16             4096     4096    32768      1.363      806.9
fp16             4096     8192     4096      0.389      706.1
fp16             4096     8192     8192      0.768      715.6
fp16             4096     8192    16384      1.526      720.6
fp16             4096     8192    32768      3.036      724.3
fp16             4096    16384     4096      0.736      746.6
fp16             4096    16384     8192      1.457      754.9
fp16             4096    16384    16384      3.205      686.1
fp16             4096    16384    32768      6.929      634.7
fp16             4096    32768     4096      1.604      685.5
fp16             4096    32768     8192      3.197      687.8
fp16             4096    32768    16384      6.749      651.7
fp16             4096    32768    32768     13.487      652.2
fp16             8192     4096     4096      0.421      652.6
fp16             8192     4096     8192      0.830      662.2
fp16             8192     4096    16384      1.650      666.5
fp16             8192     4096    32768      3.292      668.0
fp16             8192     8192     4096      0.800      687.4
fp16             8192     8192     8192      1.582      694.8
fp16             8192     8192    16384      3.127      703.3
fp16             8192     8192    32768      6.933      634.4
fp16             8192    16384     4096      1.574      698.7
fp16             8192    16384     8192      3.198      687.6
fp16             8192    16384    16384      6.384      689.0
fp16             8192    16384    32768     13.506      651.3
fp16             8192    32768     4096      3.152      697.6
fp16             8192    32768     8192      6.293      698.9
fp16             8192    32768    16384     12.576      699.4
fp16             8192    32768    32768     25.135      699.9
fp16            16384     4096     4096      0.793      693.4
fp16            16384     4096     8192      1.570      700.2
fp16            16384     4096    16384      3.475      632.7
fp16            16384     4096    32768      6.236      705.3
fp16            16384     8192     4096      1.572      699.2
fp16            16384     8192     8192      3.197      687.8
fp16            16384     8192    16384      6.270      701.5
fp16            16384     8192    32768     12.458      706.1
fp16            16384    16384     4096      3.134      701.6
fp16            16384    16384     8192      6.296      698.6
fp16            16384    16384    16384     12.575      699.5
fp16            16384    16384    32768     25.136      699.9
fp16            16384    32768     4096      6.250      703.6
fp16            16384    32768     8192     12.496      703.9
fp16            16384    32768    16384     24.957      704.9
fp16            16384    32768    32768     49.903      705.1
fp16            32768     4096     4096      1.572      699.3
fp16            32768     4096     8192      3.197      687.8
fp16            32768     4096    16384      6.385      688.9
fp16            32768     4096    32768     12.461      705.9
fp16            32768     8192     4096      3.134      701.7
fp16            32768     8192     8192      6.293      698.9
fp16            32768     8192    16384     12.578      699.3
fp16            32768     8192    32768     25.138      699.8
fp16            32768    16384     4096      6.250      703.7
fp16            32768    16384     8192     12.059      729.4
fp16            32768    16384    16384     23.038      763.6
fp16            32768    16384    32768     46.060      763.9
fp16            32768    32768     4096     11.452      768.1
fp16            32768    32768     8192     22.853      769.8
fp16            32768    32768    16384     45.661      770.6
fp16            32768    32768    32768     95.907      733.7

Best achieved: 806.9 TFLOPS (fp16)
H100 SXM theoretical peak (fp16 dense): 989.4 TFLOPS
Achieved 81.6% of theoretical peak
